Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,security_id,security_code
07-Mar-22,1.03,1.03,1.03,1.03,1,1,1,1,1,100,0,0,VARUNME,512511
02-Mar-22,0.99,0.99,0.99,0.99,0,1,1,0,1,100,0,0,VARUNME,512511
25-Feb-22,0.95,0.95,0.95,0.95,0.9166666666666666,24,4,22,24,100,0,0,VARUNME,512511
22-Nov-24,5988.3,6146,5928.05,6129.1,6073.628312412831,4302,1048,26128749,1908,44.35,217.95,140.8,T54AD,541362
21-Nov-24,5875,5944.5,5845.4,5929.15,5903.800210859251,1897,549,11199509,792,41.75,99.1,54.15,T54AD,541362
19-Nov-24,5820.05,5960.6,5820.05,5876.6,5924.5727470141155,3684,507,21826126,2573,69.84,140.55,56.55,T54AD,541362
18-Nov-24,5920.3,5955.95,5714,5837.2,5795.440621531632,4505,1762,26108460,1306,28.99,241.95,-83.1,T54AD,541362
14-Nov-24,5919,6008,5916.95,5993.2,5957.915773584906,6625,1901,39471192,2888,43.59,91.05,74.2,T54AD,541362
13-Nov-24,6014.05,6014.25,5919.65,5952.25,5951.671982839023,10722,1628,63813827,8685,81,94.6,-61.8,T54AD,541362
12-Nov-24,5985,6031,5959.55,6004.05,6010.3418994413405,3580,944,21517024,1893,52.88,71.45,19.05,T54AD,541362
11-Nov-24,5851.2,6019.2,5851.2,5971.5,5965.706179978316,2767,1016,16507109,1104,39.9,168,120.3,T54AD,541362
08-Nov-24,5850.05,5994.35,5850.05,5925.9,5942.382231905108,4131,1385,24547981,1236,29.92,144.3,75.85,T54AD,541362
07-Nov-24,5991.7,5997.55,5823,5881.35,5884.799578252498,10907,2653,64185509,5855,53.68,174.55,-110.35,T54AD,541362
06-Nov-24,5770,5998,5770,5991.7,5920.517182007317,13939,4034,82526089,5736,41.15,228,221.7,T54AD,541362
05-Nov-24,5735,5781,5686.55,5720.25,5734.833452979182,2786,1139,15977246,897,32.2,94.45,-14.75,T54AD,541362
04-Nov-24,5716.25,5752.35,5666,5735.95,5708.356339547065,6491,2238,37052941,3529,54.37,86.35,19.7,T54AD,541362
01-Nov-24,5701.45,5800,5701.45,5734.1,5736.554301833568,709,180,4067217,349,49.22,98.55,32.65,T54AD,541362
31-Oct-24,5789.05,5812.75,5625,5704.4,5685.070789724072,5255,2410,29875047,2283,43.44,187.75,-84.65,T54AD,541362
